,GEO_ID,NAME,unemp_rate,med_hh_inc,mean_hh_inc
1,0500000US01003,"Baldwin County, Alabama",5.5,56439.0,81449.0
2,0500000US01015,"Calhoun County, Alabama",7.6,48156.0,61137.0
3,0500000US01043,"Cullman County, Alabama",4.7,50906.0,61920.0
4,0500000US01049,"DeKalb County, Alabama",4.7,44208.0,56777.0
5,0500000US01051,"Elmore County, Alabama",2.8,61854.0,82576.0
6,0500000US01055,"Etowah County, Alabama",6.3,41447.0,59944.0
7,0500000US01069,"Houston County, Alabama",6.2,50103.0,69495.0
8,0500000US01073,"Jefferson County, Alabama",4.8,53944.0,79833.0
9,0500000US01077,"Lauderdale County, Alabama",4.3,46632.0,62091.0
10,0500000US01081,"Lee County, Alabama",3.7,53712.0,78000.0
11,0500000US01083,"Limestone County, Alabama",4.6,63695.0,83580.0
12,0500000US01089,"Madison County, Alabama",3.5,67930.0,88904.0
13,0500000US01095,"Marshall County, Alabama",2.2,49467.0,63823.0
14,0500000US01097,"Mobile County, Alabama",5.4,49639.0,64556.0
15,0500000US01101,"Montgomery County, Alabama",5.6,53117.0,72113.0
16,0500000US01103,"Morgan County, Alabama",5.7,54338.0,73817.0
17,0500000US01115,"St. Clair County, Alabama",5.0,67487.0,78406.0
18,0500000US01117,"Shelby County, Alabama",3.3,75614.0,101601.0
19,0500000US01121,"Talladega County, Alabama",9.4,50147.0,62758.0
20,0500000US01125,"Tuscaloosa County, Alabama",4.7,52243.0,73432.0
21,0500000US01127,"Walker County, Alabama",6.0,46283.0,60865.0
22,0500000US02020,"Anchorage Municipality, Alaska",5.4,82716.0,109042.0
23,0500000US02090,"Fairbanks North Star Borough, Alaska",3.5,72065.0,103334.0
24,0500000US02170,"Matanuska-Susitna Borough, Alaska",6.5,74709.0,92126.0
25,0500000US04001,"Apache County, Arizona",7.5,30480.0,43748.0
26,0500000US04003,"Cochise County, Arizona",4.9,48484.0,67592.0
27,0500000US04005,"Coconino County, Arizona",8.5,58085.0,81219.0
28,0500000US04013,"Maricopa County, Arizona",4.4,68649.0,92992.0
29,0500000US04015,"Mohave County, Arizona",5.1,50179.0,63437.0
30,0500000US04017,"Navajo County, Arizona",9.9,38897.0,53425.0
31,0500000US04019,"Pima County, Arizona",5.5,56169.0,76892.0
32,0500000US04021,"Pinal County, Arizona",5.2,62057.0,78763.0
33,0500000US04025,"Yavapai County, Arizona",4.4,53816.0,71282.0
34,0500000US04027,"Yuma County, Arizona",14.8,46419.0,59182.0
35,0500000US05007,"Benton County, Arkansas",2.1,69130.0,96757.0
36,0500000US05031,"Craighead County, Arkansas",6.1,45610.0,68763.0
37,0500000US05045,"Faulkner County, Arkansas",2.2,57642.0,74775.0
38,0500000US05051,"Garland County, Arkansas",3.7,45265.0,61782.0
39,0500000US05069,"Jefferson County, Arkansas",6.2,39326.0,53518.0
40,0500000US05085,"Lonoke County, Arkansas",2.7,62532.0,75963.0
41,0500000US05119,"Pulaski County, Arkansas",3.6,52043.0,77462.0
42,0500000US05125,"Saline County, Arkansas",4.3,66327.0,77398.0
43,0500000US05131,"Sebastian County, Arkansas",6.9,48839.0,65576.0
44,0500000US05143,"Washington County, Arkansas",6.2,50798.0,72353.0
45,0500000US05145,"White County, Arkansas",4.0,43399.0,61441.0
46,0500000US06001,"Alameda County, California",3.9,108322.0,141427.0
47,0500000US06007,"Butte County, California",6.8,62563.0,91685.0
48,0500000US06013,"Contra Costa County, California",4.0,107135.0,146387.0
49,0500000US06017,"El Dorado County, California",4.6,87059.0,118681.0
50,0500000US06019,"Fresno County, California",8.3,57518.0,76573.0
51,0500000US06023,"Humboldt County, California",6.6,51662.0,76880.0
52,0500000US06025,"Imperial County, California",11.3,48472.0,64050.0
53,0500000US06029,"Kern County, California",8.0,53067.0,75669.0
54,0500000US06031,"Kings County, California",7.1,58453.0,72471.0
55,0500000US06033,"Lake County, California",11.8,47138.0,67959.0
56,0500000US06037,"Los Angeles County, California",5.0,72797.0,104063.0
57,0500000US06039,"Madera County, California",8.4,64827.0,83590.0
58,0500000US06041,"Marin County, California",4.1,110843.0,180587.0
59,0500000US06045,"Mendocino County, California",5.2,51744.0,71732.0
60,0500000US06047,"Merced County, California",9.7,61167.0,79523.0
61,0500000US06053,"Monterey County, California",3.9,77514.0,102106.0
62,0500000US06055,"Napa County, California",3.3,92769.0,130499.0
63,0500000US06057,"Nevada County, California",1.9,68818.0,97744.0
64,0500000US06059,"Orange County, California",4.1,95934.0,127176.0
65,0500000US06061,"Placer County, California",3.0,97723.0,124843.0
66,0500000US06065,"Riverside County, California",5.8,73260.0,95564.0
67,0500000US06067,"Sacramento County, California",5.5,72017.0,93318.0
68,0500000US06071,"San Bernardino County, California",5.9,67903.0,86334.0
69,0500000US06073,"San Diego County, California",5.6,83985.0,112786.0
70,0500000US06075,"San Francisco County, California",3.7,123859.0,173858.0
71,0500000US06077,"San Joaquin County, California",6.2,68997.0,92484.0
72,0500000US06079,"San Luis Obispo County, California",3.4,77265.0,99083.0
73,0500000US06081,"San Mateo County, California",2.8,138500.0,193572.0
74,0500000US06083,"Santa Barbara County, California",4.6,75653.0,112619.0
75,0500000US06085,"Santa Clara County, California",3.5,133076.0,180645.0
76,0500000US06087,"Santa Cruz County, California",4.3,89269.0,126138.0
77,0500000US06089,"Shasta County, California",5.0,63091.0,81663.0
78,0500000US06095,"Solano County, California",4.0,86652.0,105465.0
79,0500000US06097,"Sonoma County, California",3.4,87828.0,117426.0
80,0500000US06099,"Stanislaus County, California",7.1,63037.0,79840.0
81,0500000US06101,"Sutter County, California",5.6,62777.0,89212.0
82,0500000US06103,"Tehama County, California",9.5,53475.0,70306.0
83,0500000US06107,"Tulare County, California",8.8,57692.0,74820.0
84,0500000US06111,"Ventura County, California",4.1,92236.0,121196.0
85,0500000US06113,"Yolo County, California",5.4,71417.0,107375.0
86,0500000US06115,"Yuba County, California",7.8,58765.0,74158.0
87,0500000US08001,"Adams County, Colorado",4.4,75804.0,91713.0
88,0500000US08005,"Arapahoe County, Colorado",3.8,82710.0,110227.0
89,0500000US08013,"Boulder County, Colorado",3.6,88535.0,125894.0
90,0500000US08014,"Broomfield County, Colorado",2.0,111400.0,144139.0
91,0500000US08031,"Denver County, Colorado",3.0,75646.0,106715.0
92,0500000US08035,"Douglas County, Colorado",2.5,122867.0,151762.0
93,0500000US08041,"El Paso County, Colorado",5.5,72830.0,93351.0
94,0500000US08059,"Jefferson County, Colorado",3.0,90040.0,115741.0
95,0500000US08069,"Larimer County, Colorado",3.5,75186.0,98731.0
96,0500000US08077,"Mesa County, Colorado",3.4,60500.0,78226.0
97,0500000US08101,"Pueblo County, Colorado",6.0,51276.0,66317.0
98,0500000US08123,"Weld County, Colorado",3.7,78615.0,95567.0
99,0500000US09001,"Fairfield County, Connecticut",5.3,97053.0,159703.0
100,0500000US09003,"Hartford County, Connecticut",5.0,75381.0,101930.0
101,0500000US09005,"Litchfield County, Connecticut",4.8,81195.0,112372.0
102,0500000US09007,"Middlesex County, Connecticut",4.8,76518.0,100657.0
103,0500000US09009,"New Haven County, Connecticut",6.4,69751.0,94695.0
104,0500000US09011,"New London County, Connecticut",4.8,75633.0,98102.0
105,0500000US09013,"Tolland County, Connecticut",3.9,91028.0,118561.0
106,0500000US09015,"Windham County, Connecticut",5.2,62106.0,80332.0
107,0500000US10001,"Kent County, Delaware",4.7,58001.0,71690.0
108,0500000US10003,"New Castle County, Delaware",4.8,76328.0,100948.0
109,0500000US10005,"Sussex County, Delaware",4.2,65155.0,88437.0
110,0500000US11001,"District of Columbia, District of Columbia",6.3,92266.0,135369.0
111,0500000US12001,"Alachua County, Florida",4.4,49534.0,73143.0
112,0500000US12005,"Bay County, Florida",4.1,59450.0,76106.0
113,0500000US12009,"Brevard County, Florida",5.6,57305.0,78841.0
114,0500000US12011,"Broward County, Florida",4.8,61502.0,88786.0
115,0500000US12015,"Charlotte County, Florida",3.9,54652.0,74773.0
116,0500000US12017,"Citrus County, Florida",9.0,50751.0,65270.0
117,0500000US12019,"Clay County, Florida",4.5,76687.0,93365.0
118,0500000US12021,"Collier County, Florida",3.0,76025.0,121643.0
119,0500000US12023,"Columbia County, Florida",8.8,47094.0,62768.0
120,0500000US12031,"Duval County, Florida",4.6,58415.0,79366.0
121,0500000US12033,"Escambia County, Florida",6.5,53136.0,73632.0
122,0500000US12035,"Flagler County, Florida",2.9,60204.0,79514.0
123,0500000US12053,"Hernando County, Florida",4.5,51031.0,62821.0
